agency,agency_rating,agency_review_count,stars,when,published,reviewer,reviewer_profile,review_text,agency_maps_url,agency_website
Stratix Consultants Oman,3.3,131,1,a year ago,2024-10-15,Abdullah Al Muhit,https://www.google.com/maps/contrib/113863850236580467715/reviews,"Fruad , Fraud Alert !!!!  Everyone, please be careful before you proceed to this company called Stratix Consultants ( Office No-310, The office building, Next to Ramez supermarket AL Khuwair South Muscat, Oman Al Khuwair OM Muscat OM, 113, Oman ). This so-called fraud company has taken 600 Rials from me, a significant amount, and has done nothing with the Canada Immigration Program. It's been almost three years, and they purposely canceled my Refund Policy. They have done nothing with my profile besides updating a few things. I have never received any interview calls or any calls from Canadian companies.  Please see the attached documents, which include my communication with the company and the contract we signed.  Be Careful, My Friends. Always verify the credentials of any immigration service provider before engaging with them.",https://maps.google.com/?cid=7455404672318944283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://stratixconsultants.com/
Stratix Consultants Oman,3.3,131,1,a year ago,2025-03-20,Anthony Chitlapully,https://www.google.com/maps/contrib/108877377499288373896/reviews,"Everyone......this agency is one of the biggest fraudsters in Muscat Oman and even the Public Authority of Consumer Protection is not ready to take this type of Cases. The agency is running all false claims and not even refunding the money if the File for Canada is not processed. Especially Sherwin, Rabeeh all are fraudsters and their Manager Mr. Kiran is not responding at all.Sherwin and Rabeeh is missing in action. Please dont give any money to this fraudsters as they are not capable of running the immigration agency. Very bad and fraudulent Service.",https://maps.google.com/?cid=7455404672318944283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://stratixconsultants.com/
Sult Al Rawahi Trading - SRT,4,6,1,in the last week,2026-08-18,Y A,https://www.google.com/maps/contrib/104041618312970652435/reviews,,https://maps.google.com/?cid=5824180884389379105&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.srt.om/
Printing Zone منطقة الطباعة,4.5,23,1,9 months ago,2025-11-17,Lamees albeloshi,https://www.google.com/maps/contrib/114724614032130453383/reviews,Worst customer service ever had !!!! تجربه سيئه شهر يماطلوا كل يوم بكره وبعد بكره يجهز اخر شي يقول ماعندنا ستوك اكواب🙃,https://maps.google.com/?cid=1816327309827800706&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.printingzoneoman.com/
abu mazin computers,4.6,61,1,a month ago,2026-07-14,Wajid Zaman,https://www.google.com/maps/contrib/117586703381703816592/reviews,"Very rude and unprofessional attitude. I requested, on WhatsApp, a quotation for a camera system and a computer, but the salesperson only listed the item names without any specifications. When I politely asked for the specifications to be included, he replied, ""I don't have time to write specifications on paper."" This was highly unprofessional. He clearly lacks basic customer service and communication skills and does not know how to prepare a proper quotation. I expected much better service.",https://maps.google.com/?cid=3717374945434445716&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
abu mazin computers,4.6,61,1,2 months ago,2026-06-16,Abu Almohanad,https://www.google.com/maps/contrib/105082319956397792208/reviews,"After sale service and follow up is really bad. The staff will be very responsive a d helpful till the install the system in your home. Any support you require for defects, they will provide. I have been chasing them up for 2 months to rectify a defect and the staff keep giving promises that he will come without any success!!",https://maps.google.com/?cid=3717374945434445716&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
DHL Service Point (SOHAR),3.7,214,1,a year ago,2025-06-15,Shanil Liver,https://www.google.com/maps/contrib/114012884223777931581/reviews,Very Very Disappointed Seriously DHL international Brand Doing such A Very Cheap Service i Bring Medicin From India and want to send it Pakistan I reach DHL office Sohar They Charge me 59 OMR And Thy said Will deleiver in 5 to 6 Days now Today 19 Days Over My parcal hold By customs in pakistan if Indian Parcal is Not Allowed in Pakistan why DHL take from Coustomer ? Why POP UP not Showing in DHL system if indian parcal not U can Received in Pakiatan inside the Parcal Herbal Medicin i told him At The time of Dispatch But .......what should i do,https://maps.google.com/?cid=11748295620660131200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://locator.dhl.com/results?address=id:OOS004&language=en&lc=OM&resultUom=km&clientAppCode=GYD
DHL Service Point (SOHAR),3.7,214,1,3 years ago,2023-05-02,Ahmed Al Kathiri,https://www.google.com/maps/contrib/108622232528257388844/reviews,"DHL never contacted me when my order arrived, and they insisted that they did.  Edit: second shipment I paid much extra cash for ""DHL Express"" for a speedy delivery from US to Oman in 1-4 days, they took 12 days to deliver it to me, so my money is gone for nothing.  On top of that, they do not deliver from Sohar to Khaborah (unless you pay 7 extra ryals, which means they can actually deliver wherever they want, they just want to squeeze more cash from you, and the whole distance is around 40 minutes maximum), I had to drive all the way to collect my shipment from Sohar.  And I'm not surprised that there is no official form or way to write some feedback or complaint because they know what kind of feedback they will get.",https://maps.google.com/?cid=11748295620660131200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://locator.dhl.com/results?address=id:OOS004&language=en&lc=OM&resultUom=km&clientAppCode=GYD
Precision Tune - Car Service & Repair Center Ibra,4.1,92,1,a year ago,2025-02-28,Chethan Gr,https://www.google.com/maps/contrib/102426300916834453652/reviews,"My car Very 10k is serviced at this service centre. This review is w.r.t 90k service done few months back. Based on trust left the car for service and after 30 Min got a call saying engine oil, gear oil etc to be changed. While leaving the car it was mentioned clearly only normal service is enough. However on call they ll make u scare saying change is must. They charged over 50 omr. After receiving the car and a week later was really shocked to see service guys not even cleaned air filter nor ac filter. It was done later at sanaya workshop. I won't recommend this service centre.",https://maps.google.com/?cid=9562006856257827179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.precisiontunegcc.com/
AL IBDA PRINTING PRESS,3.8,9,1,3 years ago,2023-04-03,Duqum Plaza Hotel,https://www.google.com/maps/contrib/103695028112023183390/reviews,"their service is not good at all Even after making advance payment, the work is not done at the right time. Even phone calls are not received after taking advance. If you send a Whats App message today, the answer does not come even on the second or third day. very bad service..................",https://maps.google.com/?cid=11606991813099996855&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
SysX Labs Inc.,3.7,3,2,10 years ago,2016-06-19,Francis Tharakan,https://www.google.com/maps/contrib/106135366661586731930/reviews,,https://maps.google.com/?cid=7024045172037305199&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
Takatuf Oman تكاتف عمان - القرم,4.4,14,2,3 months ago,2026-05-12,Margarita Ilina,https://www.google.com/maps/contrib/100007195244407996550/reviews,Trying to reach the company on the phone without response,https://maps.google.com/?cid=9519920828339598660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://takatuf.om/en
Bullseye Communication بولز اي للإتصالات,4.1,9,2,6 years ago,2020-02-03,Evin mon,https://www.google.com/maps/contrib/113786894649593673201/reviews,,https://maps.google.com/?cid=17714808792172249011&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
DHL Service Point (SOHAR),3.7,214,2,9 months ago,2025-11-23,Rais Khan,https://www.google.com/maps/contrib/108558268426919521875/reviews,Can't understand what's the administration fee that they are charging the customer's,https://maps.google.com/?cid=11748295620660131200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://locator.dhl.com/results?address=id:OOS004&language=en&lc=OM&resultUom=km&clientAppCode=GYD
Oman Advertising Agency LLC وكالة عمان للاعلان ش.م.م (OmanAD),4.5,6,3,8 years ago,2018-05-13,Amal Alsheidi,https://www.google.com/maps/contrib/107454555518108164948/reviews,,https://maps.google.com/?cid=18397905087596250421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.omanad.net/
Olive Creative Studio,4.5,4,3,a year ago,2024-11-14,Ahmed ALWAHAIBI,https://www.google.com/maps/contrib/101979757792668848520/reviews,,https://maps.google.com/?cid=8212243522734425662&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.olivescs.com/
Samsung Customer Service Plaza - Azaiba مركز خدمة سامسونج - العذيبة,3.8,684,3,a year ago,2025-02-01,Maitham AL Lawati,https://www.google.com/maps/contrib/115169993948629734299/reviews,"So I went there to replace my s21 battery. When I called them, they told me it would cost 20 OMR, and when I reached them, they told me 25 OMR, but finally, after some convincing, they agreed to repair it for 20 OMR. Another issue is that they ruined by phone backplate with glue 😕, I expected them to handle the device with care. The good thing, though, is the fact that they fixed the phone on the same day.",https://maps.google.com/?cid=3054676907662370098&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.samsung.com/ae
Donia Al Tasameem,4.6,26,3,5 years ago,2021-07-26,YIGA GEOFREY,https://www.google.com/maps/contrib/111165750846109153633/reviews,Awesome,https://maps.google.com/?cid=9452462625689740195&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
Media Computers & Training Services LLC,4.3,26,3,7 years ago,2019-06-08,Golden Computers,https://www.google.com/maps/contrib/115022843350401349276/reviews,For toners only,https://maps.google.com/?cid=508436422241905059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.mediaoman.com/
DHL Service Point (SOHAR),3.7,214,3,7 years ago,2018-10-07,PRAMOD KUMAR,https://www.google.com/maps/contrib/108270393501950095617/reviews,"Courier services, part of international chain..known worldwide....though couriers deliver to your doorstep.......here they are unique....they just inform you when ur parcel arrives & you are advised to pick it up from Sohar...even if u live in another town.....you may have to leave your office during working hours....I hope someday they will start delivering too....",https://maps.google.com/?cid=11748295620660131200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://locator.dhl.com/results?address=id:OOS004&language=en&lc=OM&resultUom=km&clientAppCode=GYD
MEGASTORE FOR COMPUTERS AND ELECTRONICS,4.5,26,3,2 years ago,2023-10-07,Refzii Talks,https://www.google.com/maps/contrib/109138456019461481467/reviews,Good,https://maps.google.com/?cid=2804465493367249016&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
Ramzan Digital Printing & Signage -رمضان مطبعةالماس وخطاط تركيب اللافتات التجارية,4,2,3,8 months ago,2025-11-27,Striven83,https://www.google.com/maps/contrib/110039786252484405909/reviews,"مطبعة رمضان وخطاط3D وصنع الأختام  في ولاية بدية Ramadan Printing Press, 3D Calligraphy and Stamp Making in the Wilayat of Bidiyah",https://maps.google.com/?cid=6025312773833619872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,
